[OK] Fetching active catalog from Supabase...
[OK] 1207 active rows.
[1/1207] Illini Summer Academies... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[2/1207] Inspiring the Next Generation of Women in Physics... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[3/1207] LSU Summer Scholars Program... running, 1 search(es), $0.0152 [changed]
[4/1207] “Blender” Camp... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[5/1207] 1-Week Medical Academy... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[6/1207] 3-Week Medical Academy... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[7/1207] 4H-RU Program... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[8/1207] Academic Connections... not_running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[9/1207] Academic Immersion... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[10/1207] Academic Internship... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[11/1207] Academic Summer Camps... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[12/1207] Academy for Youth Success... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[13/1207] Accelerated Learning Program (ALP)... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[14/1207] ACE... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[15/1207] Actuarial Science Camp... running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[16/1207] Advance Pre-College Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[17/1207] Advanced Bacteriophage Therapy – An Alternative to Antibioti... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[18/1207] Advanced Physics Summer Program... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[19/1207] Advanced Science Ambassador Program... running, 1 search(es), $0.0149 [changed]
[20/1207] Aerospace Academy... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[21/1207] AggieSTEM... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[22/1207] AgTech Research Intern... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[23/1207] AI-Scholars Pre-College... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[24/1207] AI, Data & Ethics: Introduction to Public Interest Technolog... running, 0 search(es) [SILENT: no search invoked], $0.0015 [changed]
[25/1207] AI4ALL Internship... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[26/1207] AIM Summer Program... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[27/1207] AIME... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[28/1207] AMC 10 & 12... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[29/1207] American Computer Science League... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[30/1207] American Legion Camp... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[31/1207] American Politics Academy... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[32/1207] American Regions Mathematics League... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[33/1207] American Rocketry Challenge... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[34/1207] AMRI Research Program... running, 1 search(es), $0.0151 [changed]
